Strategy,Leverage_x,Trade_No,Window,Phase,Asset,Buy_Global_Second,Sell_Global_Second,Buy_Phase_Second,Sell_Phase_Second,Buy_Price,Sell_Price,Asset_Return_Pct,Start_Equity_USD,Gross_Exposure_USD,Margin_Debt_USD,PnL_USD,End_Equity_USD,Cumulative_Return_Pct
Best_AM_PM_Rotation,1.0,7,P4-AM,4,LG Chem,992,1049,92,149,350786.01,421234.27,20.083,25254.81,25254.81,0.0,5071.92,30326.72,203.2672
Best_AM_PM_Rotation,1.0,8,P4-PM,4,NAVER,1051,1098,151,198,166074.92,196674.17,18.425,30326.72,30326.72,0.0,5587.69,35914.41,259.1441
Best_AM_PM_Rotation,1.0,9,P5-AM,5,KODEX 200 Futures Inverse 2X,1245,1291,45,91,129.85,148.02,13.9931,35914.41,35914.41,0.0,5025.53,40939.94,309.3994
Best_AM_PM_Rotation,1.0,10,P5-PM,5,Samsung Electronics,1374,1500,174,300,373281.59,474209.32,27.038,40939.94,40939.94,0.0,11069.33,52009.27,420.0927
Best_AM_PM_Rotation,2.0,1,P1-AM,1,KODEX KOSDAQ150 Leverage,73,112,73,112,16627.99,19393.31,16.6305,10000.0,20000.0,10000.0,3326.1,13326.1,33.261
Best_AM_PM_Rotation,2.0,2,P1-PM,1,Woori Financial,169,207,169,207,33342.92,38647.81,15.9101,13326.1,26652.21,13326.1,4240.39,17566.49,75.6649
Best_AM_PM_Rotation,2.0,3,P2-AM,2,TIGER 200,344,377,44,77,95955.04,109262.45,13.8684,17566.49,35132.99,17566.49,4872.38,22438.87,124.3887
Best_AM_PM_Rotation,2.0,4,P2-PM,2,POSCO Future M,551,600,251,300,222850.12,271984.43,22.0481,22438.87,44877.74,22438.87,9894.71,32333.58,223.3358
Best_AM_PM_Rotation,2.0,5,P3-AM,3,KODEX KOSDAQ150,643,731,43,131,19615.91,22738.5,15.9187,32333.58,64667.15,32333.58,10294.14,42627.72,326.2772
Best_AM_PM_Rotation,2.0,6,P3-PM,3,HD Hyundai Heavy Industries,751,808,151,208,538409.88,624361.32,15.9639,42627.72,85255.44,42627.72,13610.13,56237.85,462.3785
Best_AM_PM_Rotation,2.0,7,P4-AM,4,LG Chem,992,1049,92,149,350786.01,421234.27,20.083,56237.85,112475.7,56237.85,22588.47,78826.32,688.2632
Best_AM_PM_Rotation,2.0,8,P4-PM,4,NAVER,1051,1098,151,198,166074.92,196674.17,18.425,78826.32,157652.63,78826.32,29047.45,107873.76,978.7376
Best_AM_PM_Rotation,2.0,9,P5-AM,5,KODEX 200 Futures Inverse 2X,1245,1291,45,91,129.85,148.02,13.9931,107873.76,215747.53,107873.76,30189.7,138063.46,1280.6346
Best_AM_PM_Rotation,2.0,10,P5-PM,5,Samsung Electronics,1374,1500,174,300,373281.59,474209.32,27.038,138063.46,276126.92,138063.46,74659.09,212722.55,2027.2255
Best_AM_PM_Rotation,2.5,1,P1-AM,1,KODEX KOSDAQ150 Leverage,73,112,73,112,16627.99,19393.31,16.6305,10000.0,25000.0,15000.0,4157.63,14157.63,41.5763
Best_AM_PM_Rotation,2.5,2,P1-PM,1,Woori Financial,169,207,169,207,33342.92,38647.81,15.9101,14157.63,35394.07,21236.44,5631.23,19788.86,97.8886
Best_AM_PM_Rotation,2.5,3,P2-AM,2,TIGER 200,344,377,44,77,95955.04,109262.45,13.8684,19788.86,49472.15,29683.29,6860.99,26649.84,166.4984
Best_AM_PM_Rotation,2.5,4,P2-PM,2,POSCO Future M,551,600,251,300,222850.12,271984.43,22.0481,26649.84,66624.61,39974.77,14689.49,41339.33,313.3933
Best_AM_PM_Rotation,2.5,5,P3-AM,3,KODEX KOSDAQ150,643,731,43,131,19615.91,22738.5,15.9187,41339.33,103348.33,62009.0,16451.67,57791.0,477.91
Best_AM_PM_Rotation,2.5,6,P3-PM,3,HD Hyundai Heavy Industries,751,808,151,208,538409.88,624361.32,15.9639,57791.0,144477.5,86686.5,23064.3,80855.3,708.553
Best_AM_PM_Rotation,2.5,7,P4-AM,4,LG Chem,992,1049,92,149,350786.01,421234.27,20.083,80855.3,202138.26,121282.96,40595.37,121450.68,1114.5068
Best_AM_PM_Rotation,2.5,8,P4-PM,4,NAVER,1051,1098,151,198,166074.92,196674.17,18.425,121450.68,303626.69,182176.02,55943.12,177393.8,1673.938
Best_AM_PM_Rotation,2.5,9,P5-AM,5,KODEX 200 Futures Inverse 2X,1245,1291,45,91,129.85,148.02,13.9931,177393.8,443484.49,266090.7,62057.09,239450.89,2294.5089
Best_AM_PM_Rotation,2.5,10,P5-PM,5,Samsung Electronics,1374,1500,174,300,373281.59,474209.32,27.038,239450.89,598627.22,359176.33,161856.59,401307.48,3913.0748
Best_AM_PM_Rotation,3.0,1,P1-AM,1,KODEX KOSDAQ150 Leverage,73,112,73,112,16627.99,19393.31,16.6305,10000.0,30000.0,20000.0,4989.15,14989.15,49.8915
Best_AM_PM_Rotation,3.0,2,P1-PM,1,Woori Financial,169,207,169,207,33342.92,38647.81,15.9101,14989.15,44967.46,29978.31,7154.37,22143.52,121.4352
Best_AM_PM_Rotation,3.0,3,P2-AM,2,TIGER 200,344,377,44,77,95955.04,109262.45,13.8684,22143.52,66430.56,44287.04,9212.84,31356.36,213.5636
Best_AM_PM_Rotation,3.0,4,P2-PM,2,POSCO Future M,551,600,251,300,222850.12,271984.43,22.0481,31356.36,94069.09,62712.72,20740.49,52096.85,420.9685
Best_AM_PM_Rotation,3.0,5,P3-AM,3,KODEX KOSDAQ150,643,731,43,131,19615.91,22738.5,15.9187,52096.85,156290.54,104193.69,24879.36,76976.21,669.7621
Best_AM_PM_Rotation,3.0,6,P3-PM,3,HD Hyundai Heavy Industries,751,808,151,208,538409.88,624361.32,15.9639,76976.21,230928.62,153952.41,36865.31,113841.52,1038.4152
Best_AM_PM_Rotation,3.0,7,P4-AM,4,LG Chem,992,1049,92,149,350786.01,421234.27,20.083,113841.52,341524.55,227683.03,68588.28,182429.8,1724.298
Best_AM_PM_Rotation,3.0,8,P4-PM,4,NAVER,1051,1098,151,198,166074.92,196674.17,18.425,182429.8,547289.4,364859.6,100837.89,283267.7,2732.677
Best_AM_PM_Rotation,3.0,9,P5-AM,5,KODEX 200 Futures Inverse 2X,1245,1291,45,91,129.85,148.02,13.9931,283267.7,849803.09,566535.39,118913.53,402181.23,3921.8123
Best_AM_PM_Rotation,3.0,10,P5-PM,5,Samsung Electronics,1374,1500,174,300,373281.59,474209.32,27.038,402181.23,1206543.68,804362.46,326224.81,728406.04,7184.0604
Best_AM_PM_Rotation,4.0,1,P1-AM,1,KODEX KOSDAQ150 Leverage,73,112,73,112,16627.99,19393.31,16.6305,10000.0,40000.0,30000.0,6652.21,16652.21,66.5221
Best_AM_PM_Rotation,4.0,2,P1-PM,1,Woori Financial,169,207,169,207,33342.92,38647.81,15.9101,16652.21,66608.82,49956.62,10597.53,27249.73,172.4973
Best_AM_PM_Rotation,4.0,3,P2-AM,2,TIGER 200,344,377,44,77,95955.04,109262.45,13.8684,27249.73,108998.92,81749.19,15116.39,42366.12,323.6612
Best_AM_PM_Rotation,4.0,4,P2-PM,2,POSCO Future M,551,600,251,300,222850.12,271984.43,22.0481,42366.12,169464.47,127098.35,37363.77,79729.88,697.2988
Best_AM_PM_Rotation,4.0,5,P3-AM,3,KODEX KOSDAQ150,643,731,43,131,19615.91,22738.5,15.9187,79729.88,318919.53,239189.65,50767.72,130497.6,1204.976
Best_AM_PM_Rotation,4.0,6,P3-PM,3,HD Hyundai Heavy Industries,751,808,151,208,538409.88,624361.32,15.9639,130497.6,521990.39,391492.79,83330.24,213827.84,2038.2784
Best_AM_PM_Rotation,4.0,7,P4-AM,4,LG Chem,992,1049,92,149,350786.01,421234.27,20.083,213827.84,855311.36,641483.52,171771.95,385599.79,3755.9979
Best_AM_PM_Rotation,4.0,8,P4-PM,4,NAVER,1051,1098,151,198,166074.92,196674.17,18.425,385599.79,1542399.16,1156799.37,284186.54,669786.33,6597.8633
Best_AM_PM_Rotation,4.0,9,P5-AM,5,KODEX 200 Futures Inverse 2X,1245,1291,45,91,129.85,148.02,13.9931,669786.33,2679145.34,2009359.0,374894.65,1044680.99,10346.8099
Best_AM_PM_Rotation,4.0,10,P5-PM,5,Samsung Electronics,1374,1500,174,300,373281.59,474209.32,27.038,1044680.99,4178723.95,3134042.97,1129841.74,2174522.73,21645.2273
