Scenario,Global_Second,Phase,Phase_Name,Phase_Second,Market_State,Kia,Vintrumite,DB HiTek,POSCO Future M,Hyundai Motor,POSCO Holdings,Samsung Electronics,LS,Samsung SDI,Samsung Electro-Mechanics,HD Korea Shipbuilding,LS ELECTRIC,Korea Zinc,HMM,Hyundai Mobis,Korea Electric Power,Samsung C&T,SK Inc.,NAVER,Kakao,JUSUNG Engineering,EO Technics,Hanmi Semiconductor,LG Chem,Shinhan Financial,LEENO Industrial,LG Electronics,Celltrion,KODEX 200,EcoPro,Hana Financial,KODEX Semiconductor,SK Innovation,TIGER 200,KB Financial,KODEX Leverage,Meritz Financial,Samsung Biologics,KODEX KOSDAQ150,KODEX KOSDAQ150 Leverage,Wonik IPS,EcoPro BM,KODEX 200 Futures Inverse 2X,HD Hyundai Electric,Hyosung Heavy Industries,Woori Financial,HD Hyundai Heavy Industries,LG Energy Solution,TIGER Semiconductor TOP10,HPSP
Scenario 2,11,1,Fake Positive News,11,TRADING,156739.62,204254.24,161947.32,268962.83,527040.72,493417.98,230286.25,495106.14,705440.0,940656.09,456804.7,291374.37,1599390.55,20642.49,442107.67,44251.07,324096.03,478290.86,1425856.07,47060.5,127392.0,474044.14,378061.58,428584.9,99603.12,120726.92,146495.52,190747.85,105273.06,158005.3,125741.08,130458.08,142939.36,106557.89,157502.28,127830.11,113717.01,1468693.87,20193.07,16926.12,122058.32,210712.67,152.67,1288230.98,4193902.85,34339.49,679302.42,462645.95,42206.71,54878.88
Scenario 2,12,1,Fake Positive News,12,TRADING,156938.01,203889.22,161998.21,269018.94,525748.56,492561.66,230032.06,494223.76,705252.6,942174.15,455340.85,291103.64,1598339.95,20591.33,442009.78,44221.13,324584.78,478111.19,1425755.98,47074.22,127790.46,473813.89,377921.55,428339.4,99854.5,120729.58,146705.58,190966.71,105220.98,158278.31,125652.11,130450.84,142644.8,106542.53,157513.33,127815.03,113672.16,1466054.64,20176.38,16897.36,121852.63,210179.19,152.75,1285993.48,4189794.01,34411.96,678893.43,461817.01,42198.9,54913.82
Scenario 2,13,1,Fake Positive News,13,TRADING,157071.39,203292.87,161986.38,269246.65,524605.25,491488.33,229909.66,492898.81,705218.37,944499.79,454177.82,290607.6,1594097.08,20538.07,443006.85,44166.44,325019.38,477714.14,1423437.46,47043.47,127785.43,473767.49,377979.99,428653.15,99907.42,120789.56,146969.21,191472.86,105246.86,158484.8,125495.19,130485.8,142375.86,106633.14,157502.2,127807.46,113698.96,1464749.19,20190.36,16910.86,121732.35,209614.67,152.83,1286414.79,4186695.53,34495.05,678693.16,460645.27,42211.05,54933.65
Scenario 2,14,1,Fake Positive News,14,TRADING,157179.63,202750.86,161973.84,269306.0,523106.05,490352.42,229630.33,491903.59,705206.93,946242.96,452823.16,290315.62,1590620.83,20476.22,444092.73,44136.38,325375.69,477547.41,1423002.55,47096.79,127988.08,473699.03,378154.59,428737.84,100131.18,120736.45,147218.44,191819.72,105233.12,158802.08,125434.27,130464.05,142094.19,106750.59,157466.5,127812.17,113706.07,1462046.75,20210.29,16878.31,121653.01,209058.76,152.78,1284766.62,4185900.94,34552.67,678245.71,460026.14,42213.46,54991.26
Scenario 2,15,1,Fake Positive News,15,TRADING,157482.5,202175.32,162093.34,269291.18,522067.51,489709.33,229493.3,490742.02,705464.98,948861.78,451423.92,290221.08,1586308.87,20420.47,445180.68,44126.55,325435.99,477934.13,1422203.41,47148.32,128096.04,473736.68,378207.87,428661.42,100246.83,120692.65,147531.26,192025.03,105196.37,159062.43,125350.9,130459.5,141800.09,106844.91,157413.85,127803.51,113729.14,1462417.87,20228.67,16859.76,121624.09,208517.38,152.87,1286000.62,4180228.95,34641.57,677885.19,459017.16,42210.27,55052.52
Scenario 2,16,1,Fake Positive News,16,TRADING,157673.06,201556.87,162093.66,269509.59,521034.63,488844.02,229216.98,489517.44,705631.67,950116.76,449824.05,289667.88,1582591.42,20367.76,446450.86,44089.89,326010.83,478122.89,1419288.1,47163.49,128211.99,473793.52,378178.81,428473.34,100447.39,120628.7,147931.36,192197.8,105162.93,159239.74,125353.61,130453.56,141604.79,106984.82,157442.38,127769.24,113717.63,1462326.87,20223.8,16837.97,121570.81,207910.03,152.8,1284789.83,4177406.13,34695.95,677762.65,458014.29,42208.34,55081.77
Scenario 2,17,1,Fake Positive News,17,TRADING,157794.71,201008.65,162225.76,269562.48,519837.55,487361.72,228893.89,488243.54,705453.6,952307.71,448607.03,289144.41,1579396.71,20311.93,447189.49,44038.95,326572.65,477993.81,1418364.54,47091.14,128453.21,473670.97,378328.8,428549.02,100560.96,120623.99,148301.83,192711.89,105115.45,159498.25,125415.62,130468.06,141351.05,107108.14,157416.84,127780.98,113744.61,1461224.73,20242.07,16821.38,121510.92,207372.73,153.03,1285604.96,4174588.28,34766.76,677601.61,456914.51,42218.86,55112.22
Scenario 2,18,1,Fake Positive News,18,TRADING,157791.52,200468.54,162239.59,269652.19,519036.29,486667.96,228795.84,486967.63,705496.71,953521.93,447106.91,288689.0,1577324.38,20270.57,447990.85,44082.03,327099.54,478162.5,1416820.16,47069.59,128522.0,473309.8,378269.75,428466.43,100731.78,120651.06,148686.14,193216.17,105144.44,159700.87,125507.9,130458.35,141098.93,107281.42,157402.06,127813.06,113763.53,1461155.95,20240.32,16794.48,121399.11,207008.64,153.06,1284338.79,4172479.93,34843.03,677460.47,455845.89,42207.88,55173.53
Scenario 2,19,1,Fake Positive News,19,TRADING,157768.26,199807.73,162347.58,269985.9,517905.26,486044.42,228650.67,485691.44,705479.93,956264.34,445662.5,288525.29,1573555.65,20222.64,448684.06,44006.66,327780.87,477340.09,1417251.7,47098.43,128726.28,473532.34,378386.2,428552.58,100860.77,120641.31,148819.41,193632.61,105127.79,159949.36,125384.81,130449.91,140888.78,107349.95,157390.24,127798.97,113793.79,1460807.68,20251.21,16762.58,121314.4,206519.88,153.14,1285080.7,4169895.43,34924.73,677336.5,454649.64,42202.83,55172.28
Scenario 2,20,1,Fake Positive News,20,TRADING,158078.74,199301.49,162361.71,270069.48,516846.77,485319.9,228439.69,484482.39,705341.99,957938.76,444252.24,288146.35,1569398.98,20170.87,449498.74,44024.57,328333.39,477271.05,1416632.37,47095.2,128854.89,473659.71,378284.77,428699.68,101030.41,120600.95,149131.03,193977.08,105107.67,160287.04,125461.74,130480.67,140554.16,107383.46,157447.5,127780.18,113779.07,1459101.56,20259.72,16753.82,121162.32,206153.76,153.08,1283937.9,4164636.17,34996.76,677113.34,453895.79,42206.76,55244.78
Scenario 2,21,1,Fake Positive News,21,TRADING,158433.88,198529.41,162562.32,270133.46,515475.48,484773.26,228295.06,483277.16,705551.26,959378.85,442779.31,288058.58,1566598.49,20119.76,449476.69,44003.63,328507.88,476359.65,1417346.9,47071.11,128879.79,473823.64,378433.54,428726.36,101109.87,120620.93,149374.14,194228.76,105133.49,160544.88,125241.42,130507.66,140357.27,107479.8,157398.16,127748.46,113707.93,1455456.77,20249.44,16714.54,121114.53,205626.89,153.03,1283631.56,4159174.37,35074.46,677353.7,452757.81,42210.01,55322.93
Scenario 2,22,1,Fake Positive News,22,TRADING,158523.91,197848.63,162520.5,270201.44,514879.72,484163.68,227973.85,481986.39,705376.16,961845.23,441183.23,287749.03,1564727.21,20069.74,450448.88,43938.05,329029.41,476357.25,1416564.19,46997.76,128884.11,474001.85,378600.06,428760.02,101260.82,120627.63,149638.72,194481.7,105137.42,160837.56,125245.38,130547.22,140080.2,107516.67,157362.11,127780.65,113765.98,1452747.27,20243.48,16681.4,121026.29,205152.3,153.13,1281500.82,4155357.17,35175.56,677188.36,451787.96,42201.12,55308.98
Scenario 2,23,1,Fake Positive News,23,TRADING,158688.46,197224.29,162497.24,270455.35,513721.7,483419.89,227753.93,480597.02,705323.13,962753.63,439807.41,287412.79,1561643.11,20039.34,451112.15,43920.03,329511.3,475979.76,1415496.59,46997.51,129030.95,474163.01,378685.78,428698.23,101252.24,120659.1,150031.55,195003.18,105179.44,160995.17,125301.44,130548.68,139723.89,107620.4,157314.55,127763.64,113749.19,1454758.66,20253.44,16665.55,120892.13,204539.68,153.37,1283039.7,4151153.15,35253.34,676419.15,450899.26,42211.34,55353.51
Scenario 2,24,1,Fake Positive News,24,TRADING,158784.92,196642.66,162529.56,270656.67,512221.41,482397.57,227483.79,479369.33,705398.24,964481.99,437966.44,287568.15,1558126.42,19987.96,452125.95,43913.62,330073.01,475553.5,1413103.2,46972.86,129116.69,474359.68,378750.98,428864.1,101399.98,120658.45,150263.07,195365.45,105194.97,161247.41,125148.91,130576.97,139456.09,107757.17,157312.94,127769.22,113750.11,1454938.73,20272.91,16652.39,120803.8,204139.24,153.35,1281967.87,4145397.43,35342.86,676757.53,450223.55,42214.99,55397.25
Scenario 2,25,1,Fake Positive News,25,TRADING,159013.71,196242.43,162562.04,270819.14,511118.18,482103.16,227478.21,478175.15,705356.45,966157.12,436905.61,287535.11,1554575.21,19948.28,452890.9,43848.01,330471.17,475911.38,1411982.69,46938.33,129114.59,474772.13,378755.64,428541.35,101458.94,120706.71,150569.88,195544.91,105247.8,161643.3,125072.18,130579.07,139213.82,107812.1,157292.34,127779.62,113816.87,1456083.49,20281.75,16650.42,120816.57,203615.94,153.33,1280822.85,4141242.76,35423.74,675356.41,449364.74,42217.83,55485.79
Scenario 2,26,1,Fake Positive News,26,TRADING,159212.41,195508.09,162544.69,271134.24,509959.44,480854.96,227192.28,477054.28,705212.36,968179.65,435307.88,287511.22,1550323.85,19895.08,453610.99,43832.98,331269.13,476109.78,1410317.51,46936.68,129164.92,474978.64,378780.89,428440.01,101570.36,120731.14,150941.25,195763.91,105232.95,161805.9,125089.97,130552.34,138934.52,107894.76,157246.43,127753.04,113865.46,1452970.24,20267.85,16636.19,120653.77,203111.89,153.45,1278722.0,4137524.95,35495.41,675370.3,448516.71,42220.43,55477.97
Scenario 2,27,1,Fake Positive News,27,TRADING,159461.09,195028.48,162405.75,271302.86,508882.57,480454.06,226952.52,476009.54,705095.73,969656.96,433968.44,287444.16,1547023.7,19837.73,454437.78,43839.52,331855.56,476449.38,1407982.15,46943.06,129387.5,474426.9,378846.12,428341.45,101788.77,120717.06,151236.6,196065.25,105294.5,162094.0,125057.53,130563.79,138671.19,108048.08,157288.39,127753.19,113836.65,1452440.53,20269.99,16629.34,120566.92,202708.04,153.59,1277420.5,4135686.01,35567.55,675904.45,447391.01,42230.62,55543.53
Scenario 2,28,1,Fake Positive News,28,TRADING,159881.19,194481.04,162240.03,271425.4,507921.2,479334.03,226758.73,474794.55,705000.24,972332.12,432532.83,286832.06,1544814.18,19778.69,455426.4,43803.1,332080.19,476208.48,1408510.28,46944.38,129417.75,474545.02,378770.35,428399.36,101989.46,120690.5,151558.09,196127.18,105362.0,162399.12,125032.4,130570.61,138368.2,108005.99,157290.95,127715.99,113790.01,1450084.26,20293.73,16626.98,120369.53,202175.83,153.69,1275855.53,4132656.0,35657.11,676268.56,446378.63,42226.97,55593.57
Scenario 2,29,1,Fake Positive News,29,TRADING,160198.68,193995.83,162259.93,271785.37,507049.86,478702.71,226607.25,473349.53,704953.31,974166.41,431304.06,286414.11,1541867.09,19716.46,456024.67,43757.27,332173.77,476724.12,1403735.9,46917.28,129445.38,474571.45,378832.42,428612.9,101998.08,120686.5,151875.7,196186.72,105391.08,162584.2,125115.33,130574.94,138082.51,108079.89,157296.81,127717.53,113763.47,1448067.95,20303.62,16620.62,120274.6,201685.04,153.71,1273278.71,4129787.18,35725.75,676846.05,445197.68,42221.59,55680.45
Scenario 2,30,1,Fake Positive News,30,TRADING,160573.68,193680.59,162305.7,271798.57,505806.37,477527.71,226325.48,471868.91,705032.18,975975.13,429904.27,285935.13,1538592.27,19674.19,456580.33,43756.05,332749.29,477430.95,1402332.93,46931.46,129790.49,474744.85,378864.8,428581.89,102137.35,120689.06,152259.55,196527.3,105445.05,162834.35,125062.91,130601.07,137787.23,108264.3,157306.98,127677.13,113781.81,1447553.69,20293.38,16599.63,120186.33,201208.57,153.84,1271217.36,4122030.93,35814.62,675995.5,444665.35,42210.2,55694.38
Scenario 2,31,1,Fake Positive News,31,TRADING,160675.38,193080.2,162277.71,272143.77,504663.0,476562.22,226136.92,470579.36,704867.5,979024.97,428518.39,285747.99,1535988.84,19614.27,457337.24,43725.77,333179.99,477558.62,1401672.44,46912.45,129840.09,474473.78,379005.97,428663.67,102359.97,120681.74,152306.6,196612.59,105432.15,163105.61,125199.24,130575.22,137502.01,108421.93,157301.21,127648.29,113850.41,1445967.75,20301.99,16598.1,120003.46,200664.0,153.92,1268704.42,4119022.84,35879.96,676632.41,443636.23,42219.68,55714.77
Scenario 2,32,1,Fake Positive News,32,TRADING,160645.12,192372.01,162292.05,272214.12,503569.17,475836.04,225940.62,469237.19,704973.03,981336.75,427377.35,285717.89,1533287.79,19572.42,458098.7,43674.35,333355.56,477985.78,1399453.84,46887.73,130054.11,474230.61,379187.72,428790.66,102495.42,120646.02,152659.45,196924.58,105540.42,163313.88,125074.62,130565.95,137254.13,108518.37,157288.3,127658.44,113844.38,1445510.23,20291.47,16572.8,119790.0,200063.32,153.88,1268398.77,4114398.48,35959.13,676002.3,442402.25,42225.14,55780.42
Scenario 2,33,1,Fake Positive News,33,TRADING,161001.45,191884.45,162221.69,272540.97,502554.17,474947.1,225693.16,467947.92,704911.57,983754.37,425933.29,285354.04,1531608.75,19523.84,459483.6,43640.39,333628.19,478152.15,1398984.41,46867.54,130210.06,474254.51,379117.64,429011.85,102762.9,120656.69,152979.82,197076.53,105563.96,163629.92,124998.37,130582.7,137014.85,108765.12,157311.73,127656.61,113871.54,1443388.38,20304.3,16565.41,119740.78,199706.32,153.86,1267524.62,4110187.13,36034.64,676161.24,441618.15,42235.36,55820.93
Scenario 2,34,1,Fake Positive News,34,TRADING,161279.69,191289.68,162253.78,272817.23,501286.19,474007.91,225678.18,466379.47,704554.55,985737.76,424863.79,285111.84,1529199.65,19471.88,460577.47,43631.06,334082.6,478553.9,1398541.5,46857.2,130373.21,474026.96,379047.7,429091.05,102967.59,120636.54,153306.95,197669.59,105548.05,163846.69,124860.43,130603.96,136786.67,108859.43,157321.5,127660.58,113918.92,1439553.38,20306.5,16558.98,119484.03,199121.21,153.95,1267369.36,4108549.94,36123.24,676049.75,440479.79,42244.74,55877.71
Scenario 2,35,1,Fake Positive News,35,TRADING,161609.24,190768.56,162230.65,272792.8,500004.48,473367.13,225559.32,465226.39,704641.89,987818.25,423564.32,284751.41,1526931.25,19428.11,461714.87,43597.49,334752.37,478553.99,1396615.16,46862.35,130428.5,473815.93,379276.04,429255.0,103042.14,120683.83,153628.56,197866.32,105640.52,164099.66,124850.79,130600.88,136477.0,109021.65,157267.03,127660.42,113927.41,1438099.38,20323.72,16545.91,119532.21,198495.76,154.14,1267646.39,4106547.56,36189.71,676703.64,439492.37,42255.99,55896.79
Scenario 2,36,1,Fake Positive News,36,TRADING,161871.28,190414.82,162226.36,272783.2,499077.75,472868.43,225448.18,463953.95,704594.1,989554.91,422211.14,284533.25,1523648.95,19378.19,462333.12,43566.75,335205.73,479075.76,1396710.78,46870.55,130521.24,473711.56,379178.92,429144.82,103073.59,120675.02,153927.3,198100.23,105632.54,164329.39,124806.15,130601.62,136254.48,109061.5,157223.67,127677.05,113915.52,1436613.71,20330.55,16523.36,119454.97,197899.9,154.3,1267462.89,4105223.17,36276.34,676876.58,438470.16,42244.35,55940.79
Scenario 2,37,1,Fake Positive News,37,TRADING,162125.99,189832.93,162209.36,272908.5,497855.93,471941.99,225164.03,462710.13,704684.57,991758.16,420946.13,284595.55,1521557.98,19326.86,463208.76,43544.59,335998.43,479147.3,1396909.7,46840.95,130556.48,473929.67,379279.53,428948.38,103206.04,120701.16,154307.42,198009.16,105559.12,164625.86,124667.87,130605.32,135965.51,109110.3,157167.54,127638.87,113923.33,1436183.96,20357.62,16516.59,119404.34,197404.41,154.27,1264927.62,4098770.32,36360.09,677654.99,437542.11,42250.24,55931.41
Scenario 2,38,1,Fake Positive News,38,TRADING,162461.64,189395.51,162228.72,272772.36,496774.88,470946.31,224843.3,461579.1,704692.71,993527.46,419454.96,284456.09,1518003.46,19271.24,463305.52,43487.54,336434.82,479318.26,1394745.5,46881.74,130560.74,473810.51,379391.22,428985.5,103411.75,120640.43,154595.14,198296.54,105529.89,164916.91,124662.64,130628.75,135733.26,109279.86,157145.31,127649.58,113871.31,1434129.44,20352.38,16489.84,119316.28,196884.62,154.29,1264564.98,4094974.73,36439.1,676983.1,436503.41,42258.84,55957.5
Scenario 2,39,1,Fake Positive News,39,TRADING,162689.38,188733.06,162344.24,272925.62,495357.32,470427.11,224603.83,460389.02,704669.62,995318.36,418127.91,284555.08,1515506.19,19217.3,463960.16,43454.3,337129.83,478618.68,1393341.83,46935.54,130767.45,473642.3,379589.17,429053.82,103546.58,120615.09,154978.42,198692.87,105523.81,165105.53,124619.45,130625.19,135474.84,109329.78,157187.54,127667.47,113824.14,1433195.06,20350.9,16483.69,119197.04,196318.24,154.43,1264002.37,4090654.48,36525.25,676630.92,435552.95,42270.46,55992.25
Scenario 2,40,1,Fake Positive News,40,TRADING,162996.86,188075.35,162360.48,273265.11,493952.62,469448.93,224364.06,459243.72,704759.74,997829.31,416920.85,284453.3,1513171.23,19164.16,464625.27,43429.42,337715.0,477720.62,1391135.54,46966.02,130936.77,473736.01,379706.88,429202.43,103691.15,120636.68,155321.67,199393.61,105537.94,165328.79,124469.13,130610.56,135171.29,109596.65,157235.4,127603.77,113860.28,1434139.77,20355.94,16452.53,119159.65,195674.66,154.61,1262902.78,4085718.36,36596.94,677429.08,434489.57,42274.27,56047.47
Scenario 2,41,1,Fake Positive News,41,TRADING,163093.98,187692.54,162385.95,273462.89,492834.09,468949.77,224137.31,457928.99,704710.46,999724.57,415882.18,284191.43,1510015.49,19112.14,464983.36,43391.42,338084.25,477400.38,1389003.73,46985.27,131016.7,473719.21,379727.79,428877.43,104000.55,120677.17,155616.39,199513.46,105556.18,165648.46,124449.28,130609.6,135014.69,109689.56,157232.35,127586.41,113851.56,1432075.4,20345.25,16440.43,119216.53,195192.78,154.72,1261410.62,4083343.49,36671.2,676532.79,433627.56,42282.02,56105.73
Scenario 2,42,1,Fake Positive News,42,TRADING,163333.6,187031.1,162581.22,273597.52,491729.95,468449.2,224006.68,456665.23,704517.68,1001933.84,414590.35,283639.81,1507681.22,19058.41,466071.8,43385.56,338620.83,477649.82,1385890.0,47002.44,131019.71,473834.44,379674.93,429046.18,104272.18,120698.14,155945.95,199685.75,105536.66,165838.79,124315.83,130585.86,134661.91,109860.03,157243.26,127567.53,113820.68,1428175.17,20331.89,16400.02,119181.21,194611.84,154.94,1259989.51,4085114.07,36738.91,676069.39,432442.35,42273.75,56195.16
Scenario 2,43,1,Fake Positive News,43,TRADING,163620.32,186651.3,162634.05,273686.1,490693.42,467907.59,223830.72,455462.66,704381.57,1004120.53,413506.22,283309.05,1505151.81,19004.81,466255.18,43379.04,339126.78,478256.01,1382713.48,46960.7,131035.48,473812.89,379848.7,429289.98,104463.86,120670.92,156131.87,199675.09,105480.32,166139.63,124345.82,130619.77,134441.24,110002.93,157187.75,127579.26,113752.95,1427116.7,20313.21,16374.95,119069.67,194292.04,155.14,1258890.33,4080290.52,36814.68,675139.86,431716.29,42261.86,56315.54
Scenario 2,44,1,Fake Positive News,44,TRADING,163599.62,186260.41,162653.65,273943.89,489231.24,466756.45,223500.83,453947.55,704571.86,1006603.59,412303.22,282944.72,1501736.29,18941.42,467515.0,43334.45,339750.45,479323.48,1382064.33,46934.92,130939.42,473774.58,379801.02,429199.07,104576.53,120642.93,156364.2,199700.17,105537.2,166439.2,124421.29,130611.16,134206.64,110121.66,157167.63,127593.96,113858.1,1423969.02,20329.67,16359.12,119061.27,193772.33,155.3,1257903.62,4074302.75,36911.37,675289.44,430920.9,42260.45,56367.26
Scenario 2,45,1,Fake Positive News,45,TRADING,163931.71,185692.18,162648.18,273869.02,488273.08,465916.68,223325.71,452903.4,704508.58,1008733.74,410713.43,282857.41,1498859.88,18877.74,467958.31,43314.06,340166.34,480092.06,1380444.68,47003.83,130851.08,473786.49,379817.13,429042.12,104694.79,120694.45,156727.58,199920.69,105545.95,166729.87,124356.99,130632.6,133995.48,110241.44,157152.38,127598.31,113840.34,1422589.35,20350.47,16338.86,119085.33,193561.49,155.34,1255679.84,4072550.22,36962.44,674957.33,430223.45,42254.73,56429.58
Scenario 2,46,1,Fake Positive News,46,TRADING,164149.29,184944.62,162635.08,274169.25,487119.5,465143.29,223235.83,451901.18,704734.32,1010312.43,409195.54,282610.54,1496017.71,18820.53,468354.04,43297.68,340676.31,479750.64,1379125.87,47017.5,131096.02,473727.99,379850.79,429013.15,104968.34,120716.72,157131.72,200465.15,105567.94,166967.43,124395.63,130632.9,133686.21,110168.55,157121.35,127588.82,113854.62,1421046.62,20362.52,16325.06,119007.79,193027.48,155.43,1252896.02,4072268.64,37036.79,674310.37,429419.19,42253.11,56463.44
