Scenario	Global_Second	Phase	Phase_Name	Phase_Second	Market_State	Kia	SK hynix	DB HiTek	POSCO Future M	Hyundai Motor	POSCO Holdings	Samsung Electronics	LS	Samsung SDI	Samsung Electro-Mechanics	HD Korea Shipbuilding	LS ELECTRIC	Korea Zinc	HMM	Hyundai Mobis	Korea Electric Power	Samsung C&T	SK Inc.	NAVER	Kakao	JUSUNG Engineering	EO Technics	Hanmi Semiconductor	LG Chem	Shinhan Financial	LEENO Industrial	LG Electronics	Celltrion	KODEX 200	EcoPro	Hana Financial	KODEX Semiconductor	SK Innovation	TIGER 200	KB Financial	KODEX Leverage	Meritz Financial	Samsung Biologics	KODEX KOSDAQ150	KODEX KOSDAQ150 Leverage	Wonik IPS	EcoPro BM	KODEX 200 Futures Inverse 2X	HD Hyundai Electric	Hyosung Heavy Industries	Woori Financial	HD Hyundai Heavy Industries	LG Energy Solution	TIGER Semiconductor TOP10	HPSP
Scenario 1	11	1	Fake Positive News	11	TRADING	154546.52	1441422.49	162760.89	267258.67	539338.62	498524.73	232286.98	509792.16	705208.96	920956.05	466417.08	295483.75	1626689.8	21127.49	444699.6	44318.47	318654.36	477369.06	207903.45	47055.24	127316.42	479299.55	372116.17	428017.96	97854.29	120347.19	142084.32	188844.22	105633.35	156233.82	127163.71	129768.46	146300.18	107017.77	158098.72	127787.33	115045.7	1484204.58	20131.01	17182.57	122125.44	216919.72	151.24	1300586.89	4213640.87	33952.28	681448.42	471205.66	41905.6	54024.08
Scenario 1	12	1	Fake Positive News	12	TRADING	154375.35	1440252.86	162382.46	267588.61	539381.52	497870.01	233116.71	509155.55	705056.26	923282.68	465847.23	295813.25	1626408.63	21097.3	446452.3	44311.25	318491.65	476109.61	207977.33	47051.19	127468.78	477397.75	372246.42	428229.05	97994.61	120560.49	142076.87	188820.29	105712.61	156532.63	127391.01	129738.99	146091.24	107335.43	158056.37	127946.52	115217.49	1481218.04	20085.63	17222.45	122468.36	216944.88	151.27	1300847.38	4208760.3	34019.38	681877.99	471172.93	41839.66	54026.69
Scenario 1	13	1	Fake Positive News	13	TRADING	154619.41	1441532.87	162652.47	267464.87	539013.45	498472.06	233188.32	510017.14	706087.1	921017.51	466039.65	294912.12	1625193.09	21093.03	446519.43	44330.31	318506.75	476140.6	207886.55	47026.13	127453.37	479225.94	373066.34	428129.13	98051.91	120686.52	142162.24	188859.2	105651.81	156752.28	127520.76	129482.17	146314.88	107452.86	158038.79	127972.17	115312.39	1479523.61	20092.5	17260.53	122688.75	216933.51	151.7	1300980.01	4214916.54	34056.11	682120.5	470596.17	41787.9	54303.23
Scenario 1	14	1	Fake Positive News	14	TRADING	154827.31	1447152.81	162553.86	267290.05	539175.98	498739.53	232899.18	510443.16	705959.85	917120.08	465798.72	294564.49	1625105.36	21084.41	447767.94	44425.21	318067.94	475192.52	207886.81	47065.72	127348.89	477209.7	373071.58	427202.11	98130.43	120523.46	142264.55	188811.37	105359.08	157023.95	127495.89	129560.43	146326.03	107618.37	158158.82	127617.4	115532.61	1479423.28	20056.81	17214.88	122449.97	217204.17	151.39	1299159.11	4222714.82	34091.05	681977.92	470359.68	41777.83	54388.45
Scenario 1	15	1	Fake Positive News	15	TRADING	154838.82	1448454.44	162232.3	267442.42	539185.15	497806.22	233005.63	510186.46	706100.76	918556.45	465464.91	294229.43	1624763.81	21077.56	448756.99	44407.84	318996.73	476641.03	208335.07	47114.18	126842.13	477261.68	372482.9	426610.01	98183.64	120486.12	141725.85	188863.51	105325.67	157117.46	127474.71	129691.5	146098.56	107870.54	158042.16	127702.32	115743.92	1477297.1	20040.37	17174.19	122533.42	217086.46	151.5	1295835.09	4226861.46	34139.63	680942.74	471038.06	41758.59	54114.77
Scenario 1	16	1	Fake Positive News	16	TRADING	154802.53	1447766.53	162151.51	267578.1	539024.95	497980.66	233389.36	510031.12	706427.91	920067.99	465181.45	293950.85	1623760.47	21079.31	448847.68	44408.09	318412.12	477196.05	208722.58	47118.22	126741.71	478652.19	373970.24	426519.85	98279.46	120430.62	142046.88	188777.46	105415.62	157153	127503.49	129615.85	146327.84	107904.06	157989.02	127729.46	115983.75	1478150.98	20067.4	17132.09	122634.59	217000.6	151.29	1295729.52	4238679.04	34218.77	680072.25	471023.37	41727.16	54142.08
Scenario 1	17	1	Fake Positive News	17	TRADING	154881.74	1450843.89	162303.36	267447.78	539295.58	497896.68	233659.2	509272.03	706247.14	917283.01	464209.85	294573.37	1624966.24	21070.01	451191.79	44436.49	319222.07	477665.47	208527.53	47112.51	126426.18	479019.17	374993.19	427032.38	98219.41	120616.7	142178.37	188832.05	105400.34	157292.84	127408.44	129573.02	146568.99	108142.58	157769.67	127994.6	116309.51	1478293.01	20063.51	17086.82	122625.26	217602.03	151.4	1294997.7	4222790.08	34277.69	680942.16	470578.49	41713.34	54137.55
Scenario 1	18	1	Fake Positive News	18	TRADING	154965.64	1451116.84	162361.26	267625.32	539114.54	498262.68	233682.49	510873.45	706083.18	918418.89	463506.76	294608.56	1625512.18	21051.81	451432.5	44440.03	318376.85	477412.47	208353.67	47079.04	126149.57	478422.72	375055.71	426811.43	98224.84	120678.92	142068.76	188838.92	105309.7	157537.83	127298.07	129732.77	146695.74	108294.44	157899.36	127578.42	116555.1	1476865	20052.61	17076.78	122345.09	218023.3	151.14	1291957.08	4229221.37	34323.72	679996.74	469935.28	41739.46	54142.28
Scenario 1	19	1	Fake Positive News	19	TRADING	155154.08	1448597.7	162587.79	267294.84	537892.15	498226.73	233882.89	513223.47	706938.8	915196.16	463196.74	294402.48	1625621.12	21047.15	453619.75	44507.97	318223.46	478963.9	208743.04	47073.93	126228.72	479145.13	375551.24	426909.82	98262.74	120592.05	141615.51	188553.01	105207.13	157323.47	127301.05	129447.37	146493.35	108263.24	157843.7	128233.25	116742.32	1476061.57	20030.96	17073.49	122517.98	218020.4	150.33	1293127.28	4221565.23	34398.62	678943.52	469760.13	41763.78	54249.37
Scenario 1	20	1	Fake Positive News	20	TRADING	154924.87	1452371.68	162565.98	267080.41	538043.56	497624.9	233573.51	515828.84	707348.81	917231.13	463632.2	295570.78	1626797.15	21052.85	455001.9	44547.11	318097.08	479355.14	208776.26	47076.22	125680.74	479440.66	375973.31	426895.05	98303.46	120303.7	141542.56	188534.91	105454.49	157714.46	127355.57	129544.82	146618.48	108526.23	157724.45	128333.66	117045.21	1476453.18	19985.23	17058.92	122303.54	217297.5	150.6	1292094.11	4221663.79	34468.27	679849.26	470736.91	41787.46	54035.18
Scenario 1	21	1	Fake Positive News	21	TRADING	154999.54	1449658.94	162922.23	266673.83	538248	497113.23	233605.33	517257.97	709157.39	916485.04	462854.18	296192.99	1625870.77	21042.59	455054.93	44511.68	318103.14	479337.23	208613.24	47157.92	125172.76	481634.7	376113.94	426616.26	98269.22	120278.81	141565.05	188567.44	105649.11	157694.8	127304.88	129331.92	146741.01	108952.65	157788.85	128333.42	117296.01	1474244.9	20002.5	17076.26	122187.2	217508.57	150.7	1292300.73	4227719.68	34564.29	680696.18	471598.76	41729.04	54091.63
Scenario 1	22	1	Fake Positive News	22	TRADING	155221.56	1448427.05	163213.47	266619.83	538194.73	496697.91	233658.28	520559.1	708624.71	917253.68	463480.65	295727.86	1626052.9	21031.76	455364.26	44510.62	319285.37	479579.55	208267.85	47114.18	125331.74	482213.23	376193.36	427148.33	98271.83	120481.63	141422.42	188588.36	105615.36	157419.9	127294.23	129187.9	146472.8	109392.14	157682.1	128222.75	117554.56	1474983.56	20025.41	16983.07	122185.35	217371.63	149.66	1293941.05	4223286.91	34630.91	681548.05	472995.87	41800.63	54035.27
Scenario 1	23	1	Fake Positive News	23	TRADING	154914.9	1445546.56	162860.28	266421.03	538307.18	496676.85	233951.83	524611.46	708264.42	916209.26	463128.82	296835.52	1624137.22	21016.59	457327.46	44493.37	318830.18	479798.2	208367.34	47115.39	125192	483236.63	376749	426675.52	98176.85	120808.8	141314.66	188289.06	105510.52	157648.91	127175.45	129492.99	146408.38	109362.05	157826.87	128116.99	117709.91	1473835.8	20042.18	16954.71	121654.5	217624.44	149.8	1292533.49	4219346.31	34733.74	682012.36	474233.24	41645.72	53983.54
Scenario 1	24	1	Fake Positive News	24	TRADING	154975.04	1445133.92	162850.83	266693.2	538958.33	497288.35	233833.23	528580.82	707400.99	917811.02	463116.44	297349.12	1625554.95	21015.07	458267.94	44497.88	318016.18	480079.85	208238.11	47082.43	125075.6	483417.32	376007.23	426266.67	98311.52	120907.92	141129.27	188301.01	105491.01	157432.86	127158.34	129602.41	146387.36	109970.14	157743.23	127911.12	118106.09	1475646.67	20063.25	16953.11	121711.44	217599.24	149.57	1294389.35	4208829.5	34786.97	682390.18	474800.12	41645.49	53949.51
Scenario 1	25	1	Fake Positive News	25	TRADING	155014.56	1446089.79	163135.38	266347.72	538717.91	497486.87	233886.31	532085.97	708293.03	918509.14	463003.11	297493.44	1624511.43	21023.79	459287.33	44475.75	318370.4	479321.21	208205.41	47051.69	124939.16	484271.26	376032.43	426444.85	98217.68	121293.64	140814.23	188445.85	105535.64	156880.53	127278.95	129492.66	146489.01	110115.38	157866.75	127173.18	118425.83	1476530.65	20060.38	16926.52	121724.27	217367.48	150.13	1293386.04	4200746.01	34871.93	682357.92	475006.32	41585.24	53949.4
Scenario 1	26	1	Fake Positive News	26	TRADING	154843.36	1444795.96	162721.79	266152.65	538849.8	497554.27	233458.64	536123.18	706955.38	918225.22	462537.05	297296.39	1626477.85	21011.52	459710.91	44436.39	319177.56	479265.19	208033.24	47053.27	125022.89	483671.1	376673.43	426514.36	98272.54	121336.19	141330.19	188401.77	105785.07	156419.13	127293.99	129561.46	146375.32	110514.52	157851.41	127033.8	118694.65	1478407.68	20044.42	16885.91	121212.67	217235.56	150.4	1291089.76	4196976.36	34936.77	681574.79	474209.33	41479.27	53998.9
Scenario 1	27	1	Fake Positive News	27	TRADING	154906.74	1442336.12	162203.82	266149.43	538855.43	497567.92	233792.4	540217.66	706403.55	920250.26	462627.82	296585.86	1626889.45	21003.52	461470.05	44489.35	318786.06	479020.58	207995.47	47121.81	125527.09	484996.66	375668.58	426414.62	98313.26	121138.61	141545.31	188490.31	105804.04	156769.02	127337.48	129212.71	146403.35	110792.44	157982.39	126409.49	119113.42	1475958.59	20034.82	16866.89	121538.05	217638.18	150.52	1293734.87	4195017.49	34997.38	681472.04	474832.84	41488.86	54248.77
Scenario 1	28	1	Fake Positive News	28	TRADING	154938.79	1442777.91	162277.34	266103.48	537708.14	496623.02	234505.54	543932.27	706025.5	921188.66	461994.16	296592.72	1627394.52	21016.7	462433.85	44483.66	319820.25	478441.81	208278.01	47122.58	126003.31	485747.5	375988.43	426678.86	98387.59	121210.88	142230.54	188673.58	105979.03	156751.91	127351.92	129162.05	145989.92	111549.68	157843.58	126705.43	119477.22	1476895.65	20055.04	16902.26	121674.34	217652.1	150.77	1291364.41	4195377.18	35067.13	680523.28	475746.38	41457.44	54512.01
Scenario 1	29	1	Fake Positive News	29	TRADING	154938.64	1444573.84	162023.93	265775.34	539388.5	496820.69	234102.5	546828.24	706110.47	923162.14	462214.47	296461.63	1627701.14	21020.24	463563.97	44485.81	319236.35	477928.02	208406.26	47098.42	125767.33	486576.31	376532.96	426666.78	98381.92	121354.06	142148.48	188893.79	106044	157051.68	127352.26	128914.62	145907.28	111732.58	157643.96	126624.03	119852.19	1477138.01	20037.08	16875.64	121695.04	217546.84	150.35	1290085.5	4191141.65	35111.53	681417.17	476736.15	41353.61	54573.3
Scenario 1	30	1	Fake Positive News	30	TRADING	155126.17	1446263.32	162153.64	265805.87	539235.47	496540.29	234046.82	549499.52	706772.2	923575.93	462406.21	296285.25	1625858.09	21053.36	465322.4	44488.92	319480.71	477899.07	208111.91	47123.5	125614.41	485833.58	377552.79	425822.12	98269.61	121283.16	141984.14	188980.58	105793.53	157128.75	127224.44	129212.81	145777.8	111993.42	157638.77	126616.97	120223.02	1476296.5	20023.75	16931.03	121908.5	217719.57	150.87	1293672.65	4180938.75	35143.26	681133.28	477616.59	41442.81	54585.37
Scenario 1	31	1	Fake Positive News	31	TRADING	155034.34	1446831.65	162552.28	265817.88	539361.27	496045.02	234253.81	552154.98	705716.88	924424.11	463028.45	296010.87	1625006.16	21049.2	465459.31	44486.97	319465.42	479371.42	208177.52	47131.85	125920.84	486491.21	378285.55	425351.14	98224.51	121456.41	142191.3	189180.88	105778.67	157370.71	127072.62	129275.24	145493.85	112449.07	157500.64	126549.01	120615.7	1476096.33	20033.85	16942.32	121651.11	218365.72	150.79	1296824.26	4169276.79	35182.89	680441.44	478709.58	41479.84	54649.19
Scenario 1	32	1	Fake Positive News	32	TRADING	155113.52	1449044.65	162623.97	265826.9	539215.57	495451.91	234292.31	552670.92	705947.85	925259.07	462325.97	296207.33	1622621.59	21046.66	466929.27	44480.54	319921.76	478296.3	208253.78	47118.34	126303.72	487258.18	377781.57	425414.33	98198.6	121371.13	142799.87	189102.88	105700.8	157040.09	127074.38	129336.56	145481.7	112691.48	157656.58	126234.99	120915.43	1474322.41	20047.5	16938.36	121732.32	218347.99	150.75	1297645	4157202.55	35214.83	680545.34	478871.47	41409.72	54894.19
Scenario 1	33	1	Fake Positive News	33	TRADING	154949.36	1449871.72	162177.9	265416.26	538468.59	495976.07	234694.24	552027.8	705472.65	929735.4	462176.87	296606.39	1622561.98	21035.01	467871.6	44435.49	320453.18	478943.54	208020.37	47096.89	126935.71	487168.58	375530.03	424328.06	98252.08	120934.62	143128.04	188960.55	105707.35	156899.45	127167.92	129190.79	145399.58	113221.56	157804.93	126212.7	121314.46	1476142.81	20050.72	16967.51	121656.46	217997.22	150.65	1296128.93	4149293.15	35241.8	681147.92	479383.41	41333.81	54891.64
Scenario 1	34	1	Fake Positive News	34	TRADING	155239.23	1450859.5	162037.77	264794.16	538930.8	495581.14	234090.93	550810.23	706917.17	928968.41	462966.74	297009.43	1622859.15	21021.05	468224.65	44448.52	320815.48	478951.12	208301.93	47090.16	127119.96	487564.94	376180.43	424010.9	98373.76	120627.19	143233.82	188860.82	105240.74	157098.92	127173.54	129072.91	145522.98	113526.36	157623.86	126535.61	121493.71	1477582.11	20030.21	16991.24	122001.72	217350.87	151.13	1294286.83	4145679.19	35269.44	681446.8	480457.97	41237.4	54891.53
Scenario 1	35	1	Fake Positive News	35	TRADING	154851.18	1450515.61	161533.54	264487.21	538308.24	496159.17	233549.01	548465.86	705905.39	930928.21	462870.75	296368.13	1627817.94	21023.6	469534.97	44407.37	320025.18	479493.75	208640.5	47140.32	127098.91	488703.9	374456.3	422502.53	98308.49	120314.56	143023.21	188681.13	105226.36	157097.62	127172.89	129032.8	145237.79	113607.37	157796.17	126733.38	121776.51	1478006.21	20059.02	16959.22	121948.1	218319.26	151.51	1296775.59	4142551.94	35303.86	681959.97	481774.4	41193.1	55000.12
Scenario 1	36	1	Fake Positive News	36	TRADING	154698.8	1453871.99	161537.22	263567.83	538834.29	495577.61	234192.15	544826.64	706267.18	929358.96	462897.7	296872.74	1625593.98	21030.8	470789.1	44311.96	319673.09	479255.55	208439.14	47231.65	127339.21	488574.14	375701.73	422150.91	98257.33	120425.82	143261.1	188742.91	105270.96	157003.91	127099.86	128885.98	144982.55	114024.82	157755.89	126853.38	121972.21	1477438.11	20033.03	16973.48	122668.21	218204.87	151.84	1294353.86	4131760.65	35305.9	681640.5	482334.46	41197.93	54948.22
Scenario 1	37	1	Fake Positive News	37	TRADING	154657.99	1454509.62	161960.01	263910.11	539197.01	495641.76	234337.48	541866.03	706439.92	927118.98	462478.88	297512.47	1622329.99	21012.74	472009.11	44299.77	319535.5	478873.72	208746.51	47220.39	127080.12	489597.26	375931.36	421120.15	98172.9	120356.19	143112.6	188919.9	105274.25	156625.23	127070.91	128801.02	145044.8	113991.92	157906.51	126784.3	122310.16	1476009.95	20011.76	16974.52	123168.45	218142.81	151.68	1294137.26	4134170.54	35313.43	680390.39	483317.86	41222.33	55094.75
Scenario 1	38	1	Fake Positive News	38	TRADING	154425.73	1449461.47	162188.05	263140.02	540204.52	495430.78	234908.4	537413.14	708890.2	929031.04	461854.19	297974.81	1620701.15	21009.66	472837	44336.71	319868.56	477996.53	208665.69	47212.84	127660.73	491361.59	374758.5	420331.7	98150.81	120351.11	142666.68	189109.63	105314.12	157129.25	127151.57	128682.97	144779.09	114596.28	157611.14	126907.03	122494.56	1478035.41	20032.72	17016.03	123120.98	218431.87	151.71	1293934.25	4138662.38	35341.24	681229.35	483164.72	41183.85	55269.74
Scenario 1	39	1	Fake Positive News	39	TRADING	154372.23	1450051.86	162460.22	263330.74	540207.05	495892.76	234598.73	533976.96	710032.23	925309.86	461888.75	297162.74	1620521.32	21014.86	473366.46	44369.74	319693.53	478921.04	209150.18	47215.62	127207.34	492884.08	376945.51	420455.58	98141.55	120565.63	142769.87	189284.36	105567.44	157321.87	127184.3	128588.73	144875.91	115111.36	157637.74	126718.44	122533.13	1479110.57	20052.63	17013.64	123302.48	218027.98	151.49	1291703.18	4145199.84	35320.41	681409.17	483155.77	41104.72	55189.24
Scenario 1	40	1	Fake Positive News	40	TRADING	154224.27	1451377.22	162214.51	263080.25	539833.09	495270.07	235094.57	530323.24	710715.07	922237.01	461936.64	296964.66	1619849.7	21042.78	473575.01	44334.03	319021.25	478150.98	209425.79	47287.34	126893.19	491113.6	376491.57	420136.47	98228.75	120500.93	142856.44	189455.49	105689.27	157140.55	127165.54	128253.92	144891.48	115310.85	157701.76	126949.87	122650.39	1480411.8	20026.59	17060.88	123650.24	218202.44	151.52	1293493.58	4142170.24	35309.22	682295.31	483585.91	41139.12	55218.93
Scenario 1	41	1	Fake Positive News	41	TRADING	154055.09	1447362.3	162383.67	263090.39	539676.22	495369.63	234999.73	527032.2	710698.28	921092.48	462385.67	296038.96	1620035.13	21037.44	474548.51	44375.52	319484.47	479221.66	208953.87	47350.04	127144.98	492878.99	375572.5	419313.08	98270.2	120646.22	142852.33	189543.62	105367.08	157176.2	127287.3	128278.45	144870.14	115100.82	157500.9	127400.19	122858.71	1480928.94	19977.89	17054.67	123408.33	218208.83	150.58	1290781.26	4153947.36	35346.02	682393.19	483165.17	41133.43	55186.69
Scenario 1	42	1	Fake Positive News	42	TRADING	153735.28	1444691.87	162596.56	262842.13	540185.34	495318.91	235065.26	522677.92	710188.81	920777.16	461981.72	294684.66	1618211.92	21061.57	475336.78	44375.61	320206.18	480365.77	208853.21	47392.12	126861.46	493199.08	376468.98	418393.95	98339.26	120439.02	142500.33	189909.05	105230.79	156737.85	127083.41	128034.9	145187.56	115320.42	157421.26	127229.43	123118.53	1480886.16	19958.65	17038.14	124303.58	218032.04	150.03	1289799.11	4147768.59	35370.54	681565.9	482898.12	41114.93	55021.8
Scenario 1	43	1	Fake Positive News	43	TRADING	153991.68	1445830.37	161989.12	263179.76	539580.93	495311.31	234901.77	519614.48	710954.49	916852.91	461920.75	293547.02	1616006.1	21069.61	474278.46	44313.65	319778.46	481155.15	209053.88	47415.46	126779.49	494121.93	376724.28	417838.01	98343.86	120619.37	142182.31	190052.5	105257.33	157053.94	127152.08	127864.79	145468.35	115535.52	157368.76	127241.01	123259.15	1480963.43	19911.12	17053.31	124128.53	217545.59	148.83	1292465.99	4157399.27	35373.97	681253.32	483209.45	41195.16	55086.41
Scenario 1	44	1	Fake Positive News	44	TRADING	154058.89	1442471.07	162258.96	263224.71	539643.7	495036.07	234327.65	517478.74	711687.34	920808.11	461725.04	292148.67	1616006.03	21063.74	473686.43	44311.36	319524.81	480376.46	208900.15	47402.17	126797.07	493419.05	376139.85	416740.29	98507.29	120344.38	142139.2	190003.47	105166.32	157188.9	127133.05	127773.46	145596.53	115634.51	157502.33	127454.05	123286.98	1481130.35	19835.27	17056.24	123512.98	217504.8	148.56	1291102.99	4168236.35	35341.97	679726.87	483083.92	41122.19	54971.49
Scenario 1	45	1	Fake Positive News	45	TRADING	154023.68	1443254.91	162174.7	263312.14	540475.73	494340	234124.36	516643.32	710093.78	919298.89	461930.53	292218.45	1616712.79	21060.16	474108.22	44356.32	319647.75	479741.87	208591.67	47434.4	126623.46	493784.23	375100.79	415142.02	98704.55	120171.26	141988.85	190239.74	105498.37	157189.13	127310.12	127714	145808.45	115641.18	157677.34	127795.47	123305.75	1480022.31	19726.73	17048.05	123301.48	217567.71	148.67	1292187.84	4163427.18	35336.79	679283.63	481491.38	41077.92	55013.79
Scenario 1	46	1	Fake Positive News	46	TRADING	153899.03	1442230.91	161836.58	262802.48	539216.07	494238.06	233983.45	516229.01	711112.32	917780.01	461813.58	290299.33	1619097.94	21043.89	474197.85	44359.51	319172.9	479986.01	208494.75	47442.8	126264.39	494213.94	374960.78	414408.02	98955.06	120000.54	141708.57	190527.78	105365.46	156767.28	127103.63	127777.77	146200.24	115757.68	157616.23	128164.59	123443.93	1478951.27	19680.35	17006.1	123176.8	217346.44	147.96	1293579.99	4171974.71	35352.14	679584.27	481562.41	41010.88	55065.79
