SK hynix	Samsung Electronics	KODEX Semiconductor	KODEX Leverage	TIGER Semiconductor TOP10
1549038.09	241515.47	132033.96	127034.82	42456.07
1518265.49	241811.57	132800.52	127445.25	42445.79
1539257.58	247125.68	133299.9	128769.36	42814.16
1549680.64	247483.3	135306.1	126075.53	42698.76
1576906.34	245293.78	136773.15	129564.02	42469.16
1586875.54	250014.16	138493.94	132328.29	42667.22
1578101.4	255039.83	140491.35	130944.35	42392.04
1571833.13	255809.2	142388.14	136856.3	42582.4
1547807.04	254961.11	144394.62	141830.06	42434.2
1549239.26	259839.16	146392.57	142605.23	42118.32
1549518.29	260420.63	147864.2	139897.31	41931.47
1555222.07	259794.56	147398.98	138279.36	42053.23
1571438.5	259952.52	146695.21	138468.19	42499.85
1589747.08	259957.71	145379.26	136143.08	42809.03
1585498.47	260255.33	145926.56	135432.11	42812.87
1558393.08	264931.45	145892.75	134699.61	42911.12
1570779.76	257179.44	143744.29	134434.87	42815.51
1579480.47	258780.33	142138.14	134522.86	43147.75
1547108.92	256631.91	142734.44	132687.96	42823.84
1517031.18	257052.34	144520.78	132085.78	42379.34
1493468.51	252606.64	139502.05	133671.61	42107.01
1476541.7	250278.45	133269.53	133747.75	41844.25
1463215	245343.5	129502.63	133436.2	41921.33
1453068.84	245405.14	129968.72	130553.23	41915.99
1484558.99	244453.24	131249.77	129932.18	42228.97
1504880.36	244431.12	130079.82	134944.29	42431.99
1495594.11	245228.69	131653.94	135610.33	42446.85
1522061.79	243206.7	133198.93	137472.32	42398.83
1525391.26	246253.98	133133.64	136108.02	42301.43
1547436.94	247650.15	135254.11	134284.35	42461.33
1556980.05	250384.42	136748.46	134921.86	42015.84
1563162.71	249616.73	137643.89	135416.02	42447.73
1556867.76	251585.31	139475.14	135935.4	42391.8
1556857.45	251803.67	139475.14	135935.4	42391.8
1589131.13	248355.76	140552.22	138643.02	42535.92
1565473.85	251193.99	137889.01	137954.5	42279.7
1567773.99	252669.37	139596.95	136051.82	42366.58
1556477.68	253672.97	138426.35	134867.79	42528.71
1545866.38	251447.52	140301.1	137117.76	42680.58
1503509.45	252925.97	141337.97	137375.29	42270.77
1544636.72	255850.22	140093.2	134915.12	42450.09
1521665.46	260742.26	138897.18	132699.5	42320.87
1532093.8	264586.25	139478.57	134101.56	42413.48
1513390.32	264142.04	139500.36	131520.46	42414.02
1509008.68	267145.65	140771.6	133310.15	42601.18
1517514.32	262950.75	141682.82	131461.31	42410.98
1489286.46	253301.95	145077.58	131664.27	42237.4
1496805.01	247743.22	144719.72	134696.64	42226.58
1520199	251498.65	141464.58	137609.82	42051.94
1527050.77	255354.48	139264.39	133579.9	41884.4
1534638.16	252451.49	138381.44	130511.03	41777.92
1520436.74	250431.43	141932.86	130624.68	41510.63
1548294.86	251592.95	141057.87	132623.47	41471.41
1518533.94	250433.42	140519.48	131526.43	41157.89
1534259.11	248872.86	138767.9	131393.09	40942.5
1549872.15	247455.46	141255.07	129940.57	41572.76
1572714.26	246922.89	141512.68	130749.94	41794.11
1585040.68	243801.74	140279.06	129789.22	41873.89
1613503.6	241302.94	142780.93	130590.54	42037.07
1608673.22	243016.89	144240.49	130094.42	42262.61
1581932.82	243460.74	144603.75	129625.86	42109.39
1570766.09	242846.84	144029.33	125535.04	42125.32
1535665.23	243831.59	144273.1	125497.91	42357.4
1513688.88	243124.84	146917.78	127688.09	42623.22
1465785.12	242567.04	149660.55	126251.46	42576.1
1463066.21	247636.85	150339.5	126003.01	42425.6
1501569.35	244109.17	149197.04	127480.87	42092.99
1493309.08	243577.36	145233.56	126338.11	42238.86
1487334.83	246159.31	144231.91	127827.31	42080.03
1470837.88	245003.8	143174.19	129668.54	42196.29
1502127.84	244172.68	142611.92	130264.04	41958.54
1530307.51	241290.43	142312.69	129617.2	41761.03
1516814.94	244354.36	140851.32	129685.94	41556.11
1545172.83	246893.52	140386.96	131387.86	41643.19
1549661.47	245674.32	141482.3	132761.41	41246.59
1565595.47	242271.73	140471.59	132912.84	40757.39
1572548.88	241822.94	139846.67	136322.72	40522.09
1555766.21	242600.76	138022.04	136265.76	40838.72
1542765.55	241776.49	137689.29	138183.42	40860.12
1516151.27	238501.61	139406.49	136470.62	40916.08
1517491.35	243120.34	139034.77	137343.89	41001.98
1483344.55	241960.47	138497.51	134382.24	40898.25
1469505.99	244948.4	139033.07	135901.55	40945.92
1466376.69	243015.18	141861.09	132983.67	41167.83
1449858.41	242755.06	141845.5	130047.16	41387.4
1444351.3	246090.71	137736.56	130549.49	41501.91
1496647.86	249496.52	133525.12	130018.95	41873.79
1528460.04	248410.77	133858.81	131050.65	41704.5
1527544.78	255502.55	134569.5	126840.76	42105.8
1476732.51	261594.06	136651.51	128979.55	42058.94
1482239.93	258388.06	137472.33	128689.73	41915.89
1470808.98	249234.32	137630.36	130925.37	41880.5
1468816.47	242015.87	138736.39	131927.16	42384.13
1464796.83	239068.28	135208.98	135469.83	42261.4
1460546.17	234354.64	134581.68	133336.09	42661.37
1455771.05	232174.36	135083.09	133900.82	42615.44
1481370.22	237864.14	135427.51	132091.8	42443.26
1465755.08	239172.49	135553.69	128853.37	42053.83
1472774.35	241967.07	136928.75	133402.67	41800.99
1471077	243347.43	137617.59	135146.06	41589.58
1440191.9	241185.78	136680.77	139179.36	41679.77
1460758.12	240940.87	138871.13	138463.4	42036.83
1450742.42	240880.74	139305.92	138109.85	41742.39
1481352.18	241268.22	135883.63	134998.89	42141.32
1516314.82	238074.99	135646.01	133450.7	41804.82
1499152.69	242578.63	136344.69	138679.83	41913.53
1486859.2	244649.45	138040.86	138800.03	41385.93
1513325.2	249643.43	139037.76	135896.49	41331.1
1517198.58	247677.52	138498.97	137686.71	41253.62
1512545.68	246744.15	138264.13	133832.44	41437.04
1509009.73	247545.64	137528.16	137780	41590.93
1522529.23	249954.51	136464.36	135802.43	41434.02
1503150.26	251435.92	135412.06	135748.8	41888.31
1478529.12	250133.27	134088.47	135492.02	41890.84
1496940.61	247832.5	131681.66	135399.5	41836.36
1481073.3	244757.58	134110.83	135941.43	42078.7
1481272.74	240969.86	135334.04	134650.59	41960.29
1497755.1	244335.47	135688.3	137360.26	41892.16
1506841.24	250187.39	136661.77	136935.07	42280.1
1483936.26	253676.23	137724.42	137676.73	42150.37
1491602.66	255032.12	138849.57	139507.97	42082.55
1521313.85	257569.46	140366.26	139596.33	41937.93
1501783.76	258025.94	140887.5	139496.06	42068.56
1503673.74	260994.08	143090.59	141655.11	42126.62
1527265.77	260814.03	143299.66	143159.01	42142.57
1565611.17	258635.49	144899.49	140221.57	42142.2
1568498.22	260395.13	145350.44	141849.47	42192.27
1592090.14	258635.06	147456.94	144408.8	42266.06
1584679.96	263067.42	146444.8	144137.31	42034.61
1591136.75	264673.53	146437.83	140368.81	42114.8
1561024.81	267787.65	143954.96	136180.06	42180.88
1547304.22	269676.34	140933.16	134424.56	42415.93
1552822.57	270274.32	140871.14	132942.03	42358.13
1583747.65	273634.77	140907.63	134912.42	42254.97
1615244.42	272309.2	140621.65	137813.77	42242.44
1618648.45	267753.83	141363.65	139986	42082.44
1578113.63	265747.91	142946.33	139237.83	42374.67
1573830.53	261864.31	141386.7	138716.66	42444.66
1579779.01	255617.49	142578.23	140452.8	42361.36
1532633.41	250506.64	141831.2	144956.99	42125.54
1518931.7	252079.36	142253.38	141204.24	42488.19
1537287.9	257585.21	142441.39	141782.98	42125.84
1574096.25	261361.47	142191.29	139595.07	41946.22
1591287.49	255101.46	142140.17	137379.16	42091.24
1590469.06	248746.44	144129.51	139463.13	41670.05
1594519.66	246684.24	143599.99	137848.86	41871.65
1620259.1	246323.12	142420.24	139943.84	42078.15
1589162.39	243553.25	142676.63	142815.1	42139.24
1581156.27	241312.01	142354.48	139951.44	41961.74
1569651.96	243707.93	142000.97	137290.29	42023.84
1563105.93	244361.14	142112.29	138208.94	42036.55
1561635.91	248721.24	145366.77	136333.56	42121.26
1588713.4	247691.49	147327.02	134237.23	42027.79
1590841.8	249871.53	148027.96	135116.26	41953.98
1596562.11	253015.78	144536.59	136508.58	42260.51
1589548.77	252744.93	142351.35	136321.12	42438.67
1549547.1	255473.65	142855.16	135469.61	42665.44
1571915.67	257351.9	143010.05	138937.21	42624.78
1553449.85	258848.38	144585.91	138879.58	42492.12
1573167.81	257441.86	145977.14	139407.68	42632.44
1579453.03	261772.1	148601.47	143031.62	42249.05
1569686.44	262486.77	145673.42	141837.36	42276.06
1581270.96	262770.13	143869.6	145311.9	42050.96
1608598.35	264545.47	139662.68	144530.09	41861.95
1623193.85	266635.89	139400.89	145681.79	41476
1667678.86	268184.36	142355.29	143235.9	41534.61
1687446.51	262460.01	142317.42	143739.72	41568.82
1690807.11	262566.97	146548.64	143720.44	41425.72
1629379.84	259734.62	146779.69	147242.3	41460.11
1640259.63	257838.86	145400.57	142479.1	41473.5
1569533.82	259436.79	144686.45	139249.15	41557.49
1541737.86	266565.32	141240.62	139697.92	41419.87
1529810.83	269945.34	141361.95	137496.5	41403.58
1541984.06	272557.02	144531.23	138189.06	41533.31
1545108.83	272409.41	144270.77	139600.18	41401.68
1536313.68	269526.59	144300.93	142005.57	41330.88
1566362.97	263858.14	146115.21	138451.07	41481.83
1557277.78	265663.64	148951.95	135351.8	41564.14
1558524.84	262491.73	149166.86	132510.96	41653.07
1586710.65	262104.52	148728.75	131505.01	41722.58
1583393.73	259351.26	147341.75	133361.04	41950.21
1598514.65	256543.13	146714.94	134408.34	41909.42
1572897.34	259541.65	147461.46	133682.58	41356.11
1594960.14	260750.52	148957.81	136711.2	41685.11
1583744.71	261244.28	146073.52	138478.98	41546.24
1573219.38	263547.01	142616.29	135284.16	41684.12
1560280.99	272785.51	143818.4	136435.66	41255.81
1578443.43	279377.71	142621.66	141955.05	41806.4
1587666.36	272105.58	140633.57	140074.61	41842.73
1600052.89	261942.93	140521.23	137049.67	41894.45
1593150.14	258230.1	142503.57	137029.82	42063.04
1573491.14	261664.36	142940.06	138563.75	42086.94
1602426.32	257800.94	141472.43	140458.08	42329.73
1639970.99	257656.74	139943.61	141484.9	42448.53
1687178.01	259509.48	137840.05	141325.29	42421.56
1679821.23	264956.58	139354.11	139672.29	42587.34
1658594.75	273004.16	139700.48	142288.43	42886.37
1614794.4	276145.38	142366.24	146285.45	42890.74
1596123.26	272849.15	143000.76	147967.99	42838.16
1591759.59	272969.1	145338.83	143922.55	42924.57
1588939.57	269659.66	148870.18	142731.38	42976.04
1605547.23	272224.95	146716.26	142018.09	43510.99
1623815.7	264021.58	145427.16	142037.55	43743.14
1643252.88	263737.08	144081.9	139463.16	43961.67
1659588.97	257526.6	145331.38	140549.46	44142.85
1638888.74	255512.45	148982.78	141376.86	44352.52
1632477.03	260163.43	150266.4	143224.82	44382.15
1645815.02	261848.46	148391.3	141454.88	44080.07
1667930.84	267334.11	146380.74	141945.84	43348.96
1667305.72	262760.35	147270.66	142083.9	43754.39
1687132.74	265253.95	147650.83	141546.51	44095.32
1670413.29	266768.44	147552.78	143854.05	43884.78
1643074.99	270756.02	147998.92	145743.91	43782.31
1626805.43	268775.76	147164.22	146031.33	43519.19
1592542.23	267606.71	147097.42	147614.89	43159.78
1598127.79	276634.8	144855.72	147794.05	43018.16
1613341.24	283414.01	143320.04	144950.02	42813.67
1660248.28	274841.89	141585.12	143171.9	42993.06
1658899.92	265436.13	140461.64	142739.69	42834.07
1599076.75	263345.29	139331.23	141783.14	42821.24
1600282.37	258806.11	139759.68	139049.39	42494.98
1593458.23	255959.03	142432.74	140809.64	42219.37
1570629.57	259387.43	149811.76	142390.88	42490.23
1592783.9	264192.83	151804.95	142696.48	42627.57
1600633.89	265963.68	149784.68	140668.56	42469.33
1574728.35	273014.29	143388.72	140899.66	42263.81
1606585.53	282533.88	141771.3	143642.82	42409.86
1612723.94	290096.1	140551.62	140916.77	42326.08
1603879.14	300476.08	144503.81	141961.01	42507.74
1615794.15	313153.95	149498.76	144630.6	41980.84
1619647.26	292141.35	149447.97	141290.23	42141.2
1589011.48	277144.14	146366.4	144691.81	41950.34
1611681.2	269609.09	145896.67	146366.1	42208.5
1595470.34	267843.72	148634.82	145099.27	41893.11
1585306.39	263464.14	149481.79	148988.15	42173.87
1596561.46	259839.69	150469.65	147781.2	41984.06
1596545.59	266849.33	153196.29	150144.02	41570.88
1562652.82	269591.44	155832	149920.06	41595.71
1582896.3	273343.31	154620.11	140259.11	40996.21
1574767.07	278284.03	155744.07	140073.36	40384.64
1624614.93	272150.44	153226.34	140572.63	40528.52
1618955.01	274098.99	148565.84	143698.27	40010.58
1662513.13	277648.14	143565.08	146473	39942.6
1711895.05	278492.11	140039.47	143909.71	40597.41
1736990.56	278660.47	138952.19	144360.12	40816.3
1733076.23	276713.82	140889.85	145299.3	41088.66
1712705.79	272143.99	143417.34	144572.49	41343.96
1694830.95	267061.82	144590.87	143759.88	41775.44
1727608.13	268516.41	145466.6	144664.23	41853.25
1747528.08	268691.14	146508.36	149127.44	41843.39
1720445.78	270596.79	148161.1	148672.9	41971.58
1707325.08	270457.95	147395.79	146377.69	42363.56
1687167.96	269128.76	145996.15	146010.23	42277.63
1624377.15	274482.66	147999.7	148306.82	42130.99
1599145.33	279110.82	147994.81	151506.52	42238.35
1580071.77	277290.15	147852.5	154778.57	42120.21
1559756.4	282995.82	149368.31	157341.65	42163.88
1592615.43	289205.09	148051.66	158278.42	42329.51
1641706.66	303626.86	147476.07	156797.98	42296.37
1671550.72	300166.14	143815.39	152350.96	42025.35
1685674.24	289177.44	143870.5	152819.59	42204.55
1713551.29	279067.16	142094.46	147846.37	42205.29
1706967.69	275499.13	143758.43	149985.07	42040.84
1706765.15	277739.35	144587.89	148919.46	42415.12
1695688.43	271807.4	144927.65	149341.45	42222.32
1684142.57	267030.87	148112.92	152469.37	42058.76
1694735.87	262576.67	150416.22	156119.09	42195.98
1670048.37	257635.28	151442.35	152469.37	42270.83
1686858.97	252475.41	156199.74	147839.9	42088.59
